Cbo,CboModified,Dit,Lcom,Lcom2,Loc,RepositoryName
0,0,0,0,0,0,JackyAndroid/AndroidChromium
2,2,1,0,0,140209,FasterXML/jackson-databind
3,4,2,10,0.75,1543,react-native-share/react-native-share
5,5.5,1,0,0,814,geftimov/android-pathview
6,9,1,1,0.5,35882,YahooArchive/anthelion
2,3.5,1,0.5,0,1696,race604/FlyRefresh
4,7,1,0,0.25,2468,KunMinX/Linkage-RecyclerView
3,3,1,1,0,809,saulmm/Android-Material-Examples
4,7,1,1,0,5170,evrencoskun/TableView
5,7,1,1,0,382691,ballerina-platform/ballerina-lang
2,4,1,0,0,8347,dingjikerbo/Android-BluetoothKit
3,6,1,0,0,45904,ltsopensource/light-task-scheduler
2,2,1,0,0,4992,guolindev/booksource
2,4,1,1,0,26878,subhra74/xdm
2,3,1,1,0,19926,gouthampradhan/leetcode
4,6,1,0,0,2895,baomidou/dynamic-datasource-spring-boot-starter
3,4,1,0,0,2904,donglua/PhotoPicker
3,4,1,1,0,3906,nic-delhi/AarogyaSetu_Android
4,6,2,1,0,38623,watabou/pixel-dungeon
3,3,1,0,0,4441,iwgang/CountdownView
4,4.5,1,0,0,701,SpecialCyCi/AndroidResideMenu
2,2,1,0,0,3713,nanchen2251/RxJava2Examples
4,5,1,0,0,3686,openaphid/android-flip
6,7,1,1,0,64356,vaticle/typedb
5,11,1,0.5,0.6666667,5686,bastillion-io/Bastillion
3,4,1,1,0,16523,AbrahamCaiJin/CommonUtilLibrary
1,3,1,0,0,5033,awaitility/awaitility
4,7,1,1,0.5,27596,oshi/oshi
1,2,1,0,0,619,jfeinstein10/JazzyViewPager
5,6,1.5,1,0,3171,tyzlmjj/PagerBottomTabStrip
0,0,0,0,0,0,lizhangqu/CoreLink
3,4,1,0,0,2455,sockeqwe/AdapterDelegates
4,5,1,0,0.1875,4878,android/user-interface-samples
4,6,1,1,0,45750,jtablesaw/tablesaw
3,4,1,0,0,150398,jMonkeyEngine/jmonkeyengine
3,3,1,4.5,0,64,amitshekhariitbhu/awesome-android-complete-reference
4,7,1,0,0,676,mmin18/RealtimeBlurView
3,4,1,0,0,2483,JohnPersano/SuperToasts
4,5,1,0,0,1171,glomadrian/Grav
4,7,1,1,0,3077,MindorksOpenSource/android-mvvm-architecture
3,5,1,2.5,0,687,Dimezis/BlurView
2,3,1,0,0,2769,Malinskiy/SuperRecyclerView
3,4,1,1,0,7505,Hitomis/transferee
3,7,1,1,0,12000,chanjarster/weixin-java-tools
4,4,1,2,0.333333335,499,Todd-Davies/ProgressWheel
3,4,1,9,0,5295,brianway/springmvc-mybatis-learning
4,5,1,0,0,58530,qii/weiciyuan
3,4,1,0,0,6176,google/hover
3,3,1,0,0,32320,lbryio/lbry-android
4,7,1,1,0,27635,spring-io/initializr
3,5,1,1,0,1684,aritraroy/PatternLockView
2.5,2.5,2,0,0.1,235,500px/500px-android-blur
6,7,1,1,0,303726,apache/calcite
2,3,1,1,0,6284,chennaione/sugar
